name,x,y
poly_2,58.328,6.353
poly_2,58.31,6.324
poly_2,58.315,6.29
poly_2,58.326,6.259
poly_2,58.348,6.261
poly_2,58.323,6.24
poly_2,58.356,6.112
poly_2,58.385,6.066
poly_2,58.379,6.04
poly_2,58.41,6.005
poly_2,58.438,6.009
poly_2,58.421,5.995
poly_2,58.458,6.003
poly_2,58.449,5.991
poly_2,58.462,5.977
poly_2,58.462,5.999
poly_2,58.477,5.997
poly_2,58.464,5.876
poly_2,58.48,5.875
poly_2,58.491,5.789
poly_2,58.528,5.772
poly_2,58.543,5.681
poly_2,58.658,5.551
poly_2,58.691,5.55
poly_2,58.752,5.489
poly_2,58.793,5.546
poly_2,58.867,5.553
poly_2,58.882,5.603
poly_2,58.925,5.572
poly_2,58.929,5.606
poly_2,58.942,5.564
poly_2,58.961,5.581
poly_2,58.939,5.627
poly_2,58.896,5.634
poly_2,58.931,5.686
poly_2,58.942,5.671
poly_2,58.935,5.635
poly_2,58.968,5.59
poly_2,58.986,5.607
poly_2,58.982,5.563
poly_2,59.015,5.563
poly_2,59.02,5.592
poly_2,59.032,5.574
poly_2,58.965,5.77
poly_2,58.952,5.752
poly_2,58.961,5.743
poly_2,58.851,5.742
poly_2,58.939,5.786
poly_2,58.93,5.851
poly_2,58.953,5.85
poly_2,58.968,5.894
poly_2,58.937,5.979
poly_2,58.904,5.965
poly_2,58.895,6.055
poly_2,58.841,6.153
poly_2,58.839,6.279
poly_2,58.849,6.174
poly_2,58.875,6.117
poly_2,58.901,6.087
poly_2,58.949,6.133
poly_2,59,6.282
poly_2,59.054,6.652
poly_2,59.012,6.262
poly_2,58.943,6.1
poly_2,58.904,6.073
poly_2,58.969,5.995
poly_2,58.997,6.036
poly_2,58.984,6.091
poly_2,58.993,6.083
poly_2,59.022,6.03
poly_2,59.022,5.95
poly_2,59.086,5.891
poly_2,59.122,5.978
poly_2,59.114,6.026
poly_2,59.14,6.092
poly_2,59.14,6.174
poly_2,59.153,6.095
poly_2,59.143,6.023
poly_2,59.219,6.101
poly_2,59.235,6.177
poly_2,59.258,6.19
poly_2,59.28,6.308
poly_2,59.27,6.331
poly_2,59.288,6.328
poly_2,59.313,6.422
poly_2,59.32,6.557
poly_2,59.32,6.359
